Precip In
Date, Time, element 1,element 2,element 3,element 4,element 5,element 6,element 7,element 8,element 9,element 10,element 11,element 12,element 13,element 14,element 15,
8/20/2009,9:40:00,2,6,19,10,18,5,11,10,4,14,15,17,10,18,15,
8/20/2009,9:45:00,1,6,3,16,2,10,8,4,13,18,1,19,9,13,1,
8/20/2009,9:50:00,1,6,3,16,2,10,8,4,13,18,1,19,9,13,1,
8/20/2009,9:55:00,1,6,3,16,2,10,8,4,13,18,1,19,9,13,1,
8/20/2009,10:00:00,1,6,3,16,2,10,8,4,13,18,1,19,9,13,1,
8/20/2009,10:05:00,1,6,3,16,2,10,8,4,13,18,1,19,9,13,1,
8/20/2009,10:10:00,1,6,3,16,2,10,8,4,13,18,1,19,9,13,1,
8/20/2009,10:15:00,1,6,3,16,2,10,8,4,13,18,1,19,9,13,1,
8/20/2009,10:20:00,1,6,3,16,2,10,8,4,13,18,1,19,9,13,1,
8/20/2009,10:25:00,1,6,3,16,2,10,8,4,13,18,1,19,9,13,1,
8/20/2009,10:30:00,1,6,3,16,2,10,8,4,13,18,1,19,9,13,1,
8/20/2009,10:35:00,1,6,3,16,2,10,8,4,13,18,1,19,9,13,1,
8/20/2009,10:40:00,1,6,3,16,2,10,8,4,13,18,1,19,9,13,1,
8/20/2009,10:45:00,1,6,3,16,2,10,8,4,13,18,1,19,9,13,1,
8/20/2009,10:50:00,1,6,3,16,2,10,8,4,13,18,1,19,9,13,1,
8/20/2009,10:55:00,1,6,3,16,2,10,8,4,13,18,1,19,9,13,1,
8/20/2009,11:00:00,1,6,3,16,2,10,8,4,13,18,1,19,9,13,1,
8/20/2009,11:05:00,1,6,3,16,2,10,8,4,13,18,1,19,9,13,1,
8/20/2009,11:10:00,1,6,3,16,2,10,8,4,13,18,1,19,9,13,1,
8/20/2009,11:15:00,1,6,3,16,2,10,8,4,13,18,1,19,9,13,1,
8/20/2009,11:20:00,1,6,3,16,2,10,8,4,13,18,1,19,9,13,1,
