Date,Element 1,Element 2,Element 3,Element 4,Element 5,Element 6,Element 7,Element 8,Element 9,Element 10,Element 11,Element 12,Element 13,Element 14,Element 15,
8/20/2009 9:40:00 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/20/2009 9:45:00 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/20/2009 9:50:00 PM,0,-27.9635173043454,0,-762.912660751354,0,0,0,0,-43.753407111074,-691.884773055789,0,0,-212.8458255979,0,0,
8/20/2009 9:55:00 PM,0,-58.2347297380191,0,-2386.61569222534,0,0,-185.86040370413,0,308.653268224582,-2376.24010844874,0,0,-597.602508630587,0,0,
8/20/2009 10:00:00 PM,0,-51.16935229548,0,-4398.11641450116,0,0,-938.790479285602,0,2704.51887788528,-4167.78877702203,0,0,-1079.85497725283,0,0,
8/20/2009 10:05:00 PM,0,-8.8315613600569,0,-4774.85452078606,0,0,-2497.36641433264,0,8655.11615556611,-5812.17008303756,0,0,-1181.41101906619,0,0,
8/20/2009 10:10:00 PM,0,110.185442085799,0,-3874.2622665355,0,0,-4022.51717376406,0,17039.0554861742,-6663.04429664332,0,0,-354.923088469949,0,0,
8/20/2009 10:15:00 PM,0,337.14251147494,0,-2343.22963621664,0,0,-4736.46042884482,0,26190.4297580333,-5829.62126436667,0,0,1483.77322515406,0,0,
8/20/2009 10:20:00 PM,0,655.470394377033,0,-479.56490707206,0,0,-4264.51013697437,0,35193.1666837213,-2519.32612044853,0,0,4129.79872841323,0,0,
8/20/2009 10:25:00 PM,0,1022.28367642271,0,791.009532265051,0,0,-2399.14955468007,0,44569.7049897365,3642.6931360805,0,0,7289.02766091243,0,0,
8/20/2009 10:30:00 PM,0,1421.43879083487,0,1824.38767116262,0,0,580.693579831258,0,55482.4208515816,12420.3981787527,0,0,10641.1020942689,0,0,
8/20/2009 10:35:00 PM,0,1814.37168873399,0,2876.46060170954,0,0,4218.67021808859,0,68487.8902263464,23156.7319927371,0,0,13796.8347999903,0,0,
8/20/2009 10:40:00 PM,0,2190.27219725862,0,3931.10320834758,0,0,8241.50768222168,0,83419.062294408,34889.3281379082,0,0,16682.5751499155,0,0,
8/20/2009 10:45:00 PM,0,2540.74495439687,0,5032.61666042292,0,0,12460.1285353737,0,99624.8298929814,46777.6602923511,0,0,19220.7864803232,0,0,
8/20/2009 10:50:00 PM,0,2830.3802873198,0,6163.15780648651,0,0,16766.023320567,0,116391.229799607,58321.5365993765,0,0,21371.6524270185,0,0,
8/20/2009 10:55:00 PM,0,3069.35008651774,0,7292.66416907492,0,0,21075.3181154199,0,133131.795987143,69167.9000333611,0,0,23204.0129041383,0,0,
8/20/2009 11:00:00 PM,0,3270.67035945172,0,8401.37184369259,0,0,25334.4285530081,0,149387.314393493,79150.5459776284,0,0,24746.8009295311,0,0,
8/20/2009 11:05:00 PM,0,3441.52866007056,0,9477.30430729393,0,0,29504.3587423901,0,164851.376723517,88178.6419923243,0,0,26049.8598834303,0,0,
8/20/2009 11:10:00 PM,0,3589.77277826984,0,10504.5153535276,0,0,33559.7482843035,0,179322.007541403,96236.7942898307,0,0,27139.7224672232,0,0,
8/20/2009 11:15:00 PM,0,3717.45657139679,0,11481.5921038664,0,0,37482.3479481928,0,192699.784972448,103359.737121118,0,0,28039.7264565049,0,0,
8/20/2009 11:20:00 PM,0,3824.6220674941,0,12409.3480386776,0,0,41260.8549177665,0,204960.502545793,109593.480269902,0,0,28786.0432410932,0,0,
8/20/2009 11:25:00 PM,0,3916.52197832126,0,13280.4411321861,0,0,44890.6746214082,0,216123.959609205,115005.533316796,0,0,29402.7634916097,0,0,
8/20/2009 11:30:00 PM,0,3995.66343700664,0,14090.3855484838,0,0,48369.8619759008,0,226238.77723128,119677.192687324,0,0,29908.9463233679,0,0,
8/20/2009 11:35:00 PM,0,3976.71267885499,0,14732.2466350724,0,0,51779.456178709,0,235393.046116579,123417.296596266,0,0,30250.2617251076,0,0,
8/20/2009 11:40:00 PM,0,3956.87672143313,0,14994.623061415,0,0,55194.9080261077,0,243466.053864188,125984.219536825,0,0,30430.6675838516,0,0,
