Precip In
Date, Time, element 1,element 2,element 3,element 4,element 5,element 6,element 7,element 8,element 9,element 10,element 11,element 12,element 13,element 14,element 15,
8/20/2009,9:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/20/2009,9:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/20/2009,9:50:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/20/2009,9:55:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/20/2009,10:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/20/2009,10:05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/20/2009,10:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/20/2009,10:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/20/2009,10:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/20/2009,10:25:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/20/2009,10:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/20/2009,10:35:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/20/2009,10:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/20/2009,10:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/20/2009,10:50:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/20/2009,10:55:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/20/2009,11:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/20/2009,11:05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/20/2009,11:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/20/2009,11:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/20/2009,11:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/20/2009,11:25:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/20/2009,11:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0599999980302528,
8/20/2009,11:35:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137499998755811,
8/20/2009,11:40:00,0,0,0.0999999973806553,0,0,0,0,0,0,0,0,0,0,0,3.92901711165905E-09,
8/20/2009,11:45:00,0,0,0.0444444456474028,0,0.0555555543525972,0,0,0,0,0,0,0,0,0,0,
8/20/2009,11:50:00,0,0,0,0,0.0750000028157956,0,0,0,0,0,0,0,0,0,0,
8/20/2009,11:55:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/21/2009,12:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/21/2009,12:05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/21/2009,12:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/21/2009,12:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/21/2009,12:20:00,0,0.0499999964638846,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/21/2009,12:25:00,0,0.129999998491257,0.0899999954737723,0,0,0,0,0,0,0,0,0.0599999969825149,0,0.0599999969825149,0.149999992456287,
8/21/2009,12:30:00,0,0.22499999620195,0.0375000056970748,0,0.112499994302925,0,0,0.0749999962019501,0,0,0,0.0250000037980499,0,0.137499998100975,0.0625000094951247,
8/21/2009,12:35:00,0.0999999960709829,0.25,0,0,0.249999996070983,0,0,0.149999998035491,0.0999999960709829,0.0999999960709829,0,0,0,5.89352566748858E-09,0,
8/21/2009,12:40:00,0,0,0,0,0,0,0,0.25,0,0,0,0,0.0800000032689422,0.0499999918276444,0,
8/21/2009,12:45:00,0,0,0,0,0,0,0,0.18750001031367,0,0.024999995874532,0.024999995874532,0,0,0.18750001031367,0,
8/21/2009,12:50:00,0,0,0,0.0499999956780812,0,0,0,0,0.0749999935171218,0.0500000043219188,0.0500000043219188,0,0,0,0,
8/21/2009,12:55:00,0,0,0,0.0250000045183697,0,0,0,0.187499988704076,0.0375000067775545,0,0,0,0,0,0,
8/21/2009,1:00:00,0,0,0,0,0,0,0,0.0500000091153197,0,0,0,0,0,0,0,
8/21/2009,1:05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/21/2009,1:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/21/2009,1:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/21/2009,1:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/21/2009,1:25:00,0,0.0749999949577614,0.0749999949577614,0,0,0,0,0.187499987394403,0,0,0,0,0,0,0.187499987394403,
8/21/2009,1:30:00,0,5.23868948221207E-09,5.23868948221207E-09,0,0.249999986903276,0,0,1.30967237055302E-08,0.0999999947613105,0,0,0,0,0.249999986903276,0.100000007858034,
8/21/2009,1:35:00,0,0,0,0,0.100000006286427,0,0,0.0999999958090484,4.19095159964744E-09,0,0,0,0,0.100000006286427,4.19095159964744E-09,
8/21/2009,1:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/21/2009,1:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/21/2009,1:50:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/21/2009,1:55:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/21/2009,2:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/21/2009,2:05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
