Date,Element 1,Element 2,Element 3,Element 4,Element 5,Element 6,Element 7,Element 8,Element 9,Element 10,Element 11,Element 12,Element 13,Element 14,Element 15,
8/20/2009 9:40:00 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/20/2009 9:45:00 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/20/2009 9:50:00 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/20/2009 9:55:00 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/20/2009 10:00:00 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/20/2009 10:05:00 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/20/2009 10:10:00 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/20/2009 10:15:00 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/20/2009 10:20:00 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/20/2009 10:25:00 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/20/2009 10:30:00 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/20/2009 10:35:00 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/20/2009 10:40:00 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/20/2009 10:45:00 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/20/2009 10:50:00 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/20/2009 10:55:00 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/20/2009 11:00:00 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/20/2009 11:05:00 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/20/2009 11:10:00 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/20/2009 11:15:00 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/20/2009 11:20:00 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/20/2009 11:25:00 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/20/2009 11:30:00 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/20/2009 11:35:00 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/20/2009 11:40:00 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/20/2009 11:45:00 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/20/2009 11:50:00 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/20/2009 11:55:00 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/21/2009 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/21/2009 12:05:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/21/2009 12:10:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/21/2009 12:15:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/21/2009 12:20:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/21/2009 12:25:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/21/2009 12:30:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/21/2009 12:35:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/21/2009 12:40:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,-0.39097420863837,0,0,
8/21/2009 12:45:00 AM,0,0,0,-0.0440125683515665,0,0,0,0,0,0,0,0,-0.881343893740294,0,0,
8/21/2009 12:50:00 AM,0,0,0,-0.116005537973781,0,0,0,0,0,0,0,0,-1.55003942577112,0,0,
8/21/2009 12:55:00 AM,0,0,0,-0.215213734986676,0,0,-0.0586713937488706,0,0,0,0,0,-2.40985656740941,0,0,
8/21/2009 1:00:00 AM,0,0,0,-0.324888454512386,0,0,-0.225355416652198,0,0,0,0,0,-2.18070956693761,0,0,
