Simulation Time, PET[mm/day]
01/02/2006: 12:00 AM,0.595879409389289
01/03/2006: 12:00 AM,0.511890022662306
01/04/2006: 12:00 AM,0.664605465950461
01/05/2006: 12:00 AM,0.577669821570334
01/06/2006: 12:00 AM,0.255841803676357
01/07/2006: 12:00 AM,0.42148065877197
01/08/2006: 12:00 AM,0.791559573585588
01/09/2006: 12:00 AM,0.815437424597708
01/10/2006: 12:00 AM,0.679005262815033
01/11/2006: 12:00 AM,0.613448616859926
01/12/2006: 12:00 AM,0.786243463425015
01/13/2006: 12:00 AM,0.677668448702831
01/14/2006: 12:00 AM,0.282159803383197
01/15/2006: 12:00 AM,0.584380787680964
01/16/2006: 12:00 AM,0.570332511465839
01/17/2006: 12:00 AM,0.573920051125141
01/18/2006: 12:00 AM,0.436011941236986
01/19/2006: 12:00 AM,0.744493262153162
01/20/2006: 12:00 AM,0.691166558333934
01/21/2006: 12:00 AM,0.650255932381124
01/22/2006: 12:00 AM,0.294345540487336
01/23/2006: 12:00 AM,0.564125127189799
01/24/2006: 12:00 AM,0.658521676964867
01/25/2006: 12:00 AM,0.465515091989184
01/26/2006: 12:00 AM,0.688323365556655
01/27/2006: 12:00 AM,0.653806346691658
01/28/2006: 12:00 AM,0.776619719195935
01/29/2006: 12:00 AM,0.865978544142128
01/30/2006: 12:00 AM,0.794651501048095
01/31/2006: 12:00 AM,0.638416852150328
02/01/2006: 12:00 AM,0.67839277689672
02/02/2006: 12:00 AM,0.667267972203124
02/03/2006: 12:00 AM,0.923663469760274
02/04/2006: 12:00 AM,0.426884533710859
02/05/2006: 12:00 AM,0.426443611431117
02/06/2006: 12:00 AM,0.438158784261278
02/07/2006: 12:00 AM,0.656503726790099
02/08/2006: 12:00 AM,0.562252657099125
02/09/2006: 12:00 AM,0.414060198931605
02/10/2006: 12:00 AM,0.659572315146216
02/11/2006: 12:00 AM,0.41041547954434
02/12/2006: 12:00 AM,0.314065567748753
02/13/2006: 12:00 AM,0.431407918884461
02/14/2006: 12:00 AM,0.860676438590361
02/15/2006: 12:00 AM,0.906866586372476
02/16/2006: 12:00 AM,1.01586010254328
02/17/2006: 12:00 AM,1.0138468298462
02/18/2006: 12:00 AM,0.24111412077975
02/19/2006: 12:00 AM,0.372822706410008
02/20/2006: 12:00 AM,0.880162464543337
02/21/2006: 12:00 AM,1.01088708719672
02/22/2006: 12:00 AM,0.994827957564054
02/23/2006: 12:00 AM,0.664947434149819
02/24/2006: 12:00 AM,0.967509441349643
02/25/2006: 12:00 AM,0.714369372048425
02/26/2006: 12:00 AM,0.508099214459003
02/27/2006: 12:00 AM,0.888562942696767
02/28/2006: 12:00 AM,1.19851652214977
03/01/2006: 12:00 AM,1.3310084956607
03/02/2006: 12:00 AM,1.20370920072544
03/03/2006: 12:00 AM,0.842420912025647
03/04/2006: 12:00 AM,1.02929605836158
03/05/2006: 12:00 AM,1.29089740284515
03/06/2006: 12:00 AM,1.15516039600797
03/07/2006: 12:00 AM,1.08618510541793
03/08/2006: 12:00 AM,1.25147331316107
03/09/2006: 12:00 AM,1.05278452385212
03/10/2006: 12:00 AM,1.4700686355086
03/11/2006: 12:00 AM,1.42565227646289
03/12/2006: 12:00 AM,1.53588275667492
03/13/2006: 12:00 AM,1.35482974975973
03/14/2006: 12:00 AM,0.842582264122196
03/15/2006: 12:00 AM,1.04807096186991
03/16/2006: 12:00 AM,1.29157277107888
03/17/2006: 12:00 AM,1.31614534415783
03/18/2006: 12:00 AM,1.22200308532503
03/19/2006: 12:00 AM,1.0818531234557
03/20/2006: 12:00 AM,0.512343536618653
03/21/2006: 12:00 AM,1.26518751380013
03/22/2006: 12:00 AM,1.13641845131631
03/23/2006: 12:00 AM,0.912843745457975
03/24/2006: 12:00 AM,0.641772574009739
03/25/2006: 12:00 AM,0.631321942084637
03/26/2006: 12:00 AM,0.951180028315391
03/27/2006: 12:00 AM,1.29657111021299
03/28/2006: 12:00 AM,1.24247798649732
03/29/2006: 12:00 AM,1.64466725035709
03/30/2006: 12:00 AM,1.53646798943178
03/31/2006: 12:00 AM,1.43352567299492
04/01/2006: 12:00 AM,1.66795199511635
04/02/2006: 12:00 AM,1.74925129619199
04/03/2006: 12:00 AM,1.65764754600476
04/04/2006: 12:00 AM,1.52557975204734
04/05/2006: 12:00 AM,1.67073069382677
04/06/2006: 12:00 AM,1.76149475711934
04/07/2006: 12:00 AM,2.04654435051144
04/08/2006: 12:00 AM,1.20330752365352
04/09/2006: 12:00 AM,1.64790081961602
04/10/2006: 12:00 AM,1.77404689992891
04/11/2006: 12:00 AM,1.89360123094269
04/12/2006: 12:00 AM,1.91118193041788
04/13/2006: 12:00 AM,2.12101332578973
04/14/2006: 12:00 AM,2.34821905541832
04/15/2006: 12:00 AM,2.11702950960051
04/16/2006: 12:00 AM,2.43073362989786
04/17/2006: 12:00 AM,2.10405348398569
